adv_date,area,build_year,facilities,floor,link,price,rooms,total_price
2022-26-12,180,1383,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/icfWm,"78,000,000",3,"14,040,000,000"
2022-26-12,96,1381,پارکینگ/انباری,2,https://www.mrestate.ir/s/cNkal,"82,187,500",2,"7,890,000,000"
2022-26-12,112,1396,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/TNfxl,"62,053,571",2,"6,950,000,000"
2022-26-12,105,1401,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/Jesia,"51,047,619",2,"5,360,000,000"
2022-26-12,113,1375,پارکینگ/انباری,3,https://www.mrestate.ir/s/KWXOJ,"30,088,495",2,"3,400,000,000"
2022-26-12,50,1385,انباری,1,https://www.mrestate.ir/s/lVvNP,"52,000,000",1,"2,600,000,000"
2022-26-12,220,1377,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/CnKRF,"72,000,000",3,"15,840,000,000"
2022-26-12,195,1383,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/pqJKM,"90,256,410",4,"17,600,000,000"
2022-26-12,45,1399,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/jHucf,"69,555,555",1,"3,130,000,000"
2022-26-12,87,1384,پارکینگ/انباری,3,https://www.mrestate.ir/s/ENwFW,"47,126,436",2,"4,100,000,000"
2022-26-12,133,1390,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/PBDCE,"59,022,556",3,"7,850,000,000"
2022-26-12,54,1385,پارکینگ/انباری,1,https://www.mrestate.ir/s/QEEuj,"62,962,962",2,"3,400,000,000"
2022-26-12,75,1384,پارکینگ/آسانسور/انباری,1,https://www.mrestate.ir/s/AnKeB,"56,000,000",2,"4,200,000,000"
2022-26-12,80,1395,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/xiPyE,"56,875,000",2,"4,550,000,000"
2022-26-12,60,1390,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/LqeZf,"60,000,000",1,"3,600,000,000"
2022-26-12,80,1392,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/OLhzQ,"65,000,000",2,"5,200,000,000"
2022-26-12,750,1401,پارکینگ/آسانسور/انباری,5,https://www.mrestate.ir/s/tpSTa,"76,000,000",3,"57,000,000,000"
2022-26-12,76,1391,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/lneJi,"57,894,736",1,"4,400,000,000"
2022-26-12,140,1371,پارکینگ/آسانسور/انباری,1,https://www.mrestate.ir/s/blKRp,"50,000,000",3,"7,000,000,000"
2022-26-12,86,1399,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/AkNKo,"100,000,000",2,"8,600,000,000"
2022-26-12,63,1394,آسانسور,4,https://www.mrestate.ir/s/vLgdN,"33,333,333",1,"2,100,000,000"
2022-26-12,90,1388,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/CzPzm,"72,222,222",2,"6,500,000,000"
2022-26-12,270,1385,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/pxJTe,"111,111,111",4,"30,000,000,000"
2022-26-12,75,1388,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/Oxapr,"90,666,666",2,"6,800,000,000"
2022-26-12,105,1401,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/amiUC,"71,904,761",2,"7,550,000,000"
2022-26-12,130,1398,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/niljX,"93,076,923",3,"12,100,000,000"
2022-26-12,75,1387,پارکینگ/انباری,1,https://www.mrestate.ir/s/YkBtp,"57,333,333",2,"4,300,000,000"
2022-26-12,72,1385,پارکینگ/انباری,3,https://www.mrestate.ir/s/xFSMA,"50,694,444",2,"3,650,000,000"
2022-26-12,62,1401,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/ZXTLX,"75,806,451",1,"4,700,000,000"
2022-26-12,122,1381,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/xDvPZ,"55,737,704",2,"6,800,000,000"
2022-26-12,100,1386,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/KOKgC,"110,000,000",2,"11,000,000,000"
2022-26-12,71,1382,پارکینگ/انباری,1,https://www.mrestate.ir/s/izjyF,"59,014,084",2,"4,190,000,000"
2022-26-12,48,1387,انباری,2,https://www.mrestate.ir/s/VeWRC,"20,833,333",1,"1,000,000,000"
2022-26-12,60,1385,پارکینگ,1,https://www.mrestate.ir/s/wgRGK,"65,833,333",1,"3,950,000,000"
2022-26-12,88,1388,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/vjJse,"96,590,909",2,"8,500,000,000"
2022-26-12,110,1397,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/ozsQc,"104,545,454",2,"11,500,000,000"
2022-26-12,135,1399,پارکینگ/آسانسور/انباری,6,https://www.mrestate.ir/s/qlgRU,"90,370,370",3,"12,200,000,000"
2022-26-12,110,1401,پارکینگ/آسانسور/انباری,5,https://www.mrestate.ir/s/evWVw,"13,500,000",2,"1,485,000,000"
2022-26-12,133,1395,پارکینگ/آسانسور/انباری,6,https://www.mrestate.ir/s/hfEVG,"59,887,218",3,"7,965,000,000"
2022-26-12,128,1395,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/NHmuj,"109,375,000",3,"14,000,000,000"
2022-26-12,145,1386,پارکینگ/آسانسور/انباری,5,https://www.mrestate.ir/s/YNmyc,"49,655,172",3,"7,200,000,000"
2022-26-12,115,1395,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/nldxC,"89,565,217",2,"10,300,000,000"
2022-26-12,110,1383,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/oitje,"63,636,363",2,"7,000,000,000"
2022-26-12,240,1371,پارکینگ/آسانسور/انباری,1,https://www.mrestate.ir/s/fmFHE,"49,958,333",4,"11,990,000,000"
2022-26-12,88,1400,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/KAdUx,"63,522,727",2,"5,590,000,000"
2022-26-12,67,1395,پارکینگ/آسانسور/انباری,1,https://www.mrestate.ir/s/GCmUE,"58,955,223",2,"3,950,000,000"
2022-26-12,103,1394,پارکینگ/آسانسور/انباری,1,https://www.mrestate.ir/s/qmqWA,"60,194,174",2,"6,200,000,000"
2022-26-12,230,1401,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/gvmgY,"186,956,521",3,"43,000,000,000"
2022-26-12,143,1393,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/joviF,"66,433,566",3,"9,500,000,000"
2022-26-12,90,1394,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/kgDYc,"69,444,444",2,"6,250,000,000"
2022-26-12,93,1380,پارکینگ/انباری,4,https://www.mrestate.ir/s/qBcvE,"53,763,440",2,"5,000,000,000"
2022-26-12,82,1392,پارکینگ/آسانسور/انباری,5,https://www.mrestate.ir/s/yHkbK,"66,000,000",2,"5,412,000,000"
2022-26-12,100,1394,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/mPgLM,"65,000,000",2,"6,500,000,000"
2022-26-12,72,1385,آسانسور/انباری,1,https://www.mrestate.ir/s/eytgd,"58,333,333",2,"4,200,000,000"
2022-26-12,245,1385,پارکینگ/آسانسور/انباری,5,https://www.mrestate.ir/s/MmVMn,"72,653,061",4,"17,800,000,000"
2022-26-12,64,1384,پارکینگ/انباری,2,https://www.mrestate.ir/s/HsWmj,"57,656,250",2,"3,690,000,000"
2022-26-12,95,1401,پارکینگ/آسانسور/انباری,5,https://www.mrestate.ir/s/wsGbk,"45,263,157",2,"4,300,000,000"
2022-26-12,107,1401,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/FMCeh,"74,766,355",3,"8,000,000,000"
2022-26-12,130,1401,پارکینگ/آسانسور/انباری,5,https://www.mrestate.ir/s/DLzfN,"130,000,000",2,"16,900,000,000"
2022-26-12,75,1382,پارکینگ/آسانسور/انباری,1,https://www.mrestate.ir/s/LQRmF,"60,000,000",2,"4,500,000,000"
2022-26-12,70,1394,پارکینگ/آسانسور/انباری/بالکن,2,https://www.mrestate.ir/s/EBggm,"60,000,000",1,"4,200,000,000"
2022-26-12,55,1386,پارکینگ/آسانسور/انباری/بالکن,1,https://www.mrestate.ir/s/wdMGJ,"70,909,090",1,"3,900,000,000"
2022-26-12,182,1401,پارکینگ/آسانسور/انباری,8,https://www.mrestate.ir/s/JgbfF,"75,000,000",3,"13,650,000,000"
2022-26-12,45,1388,پارکینگ/آسانسور/بالکن,1,https://www.mrestate.ir/s/oqynk,"81,111,111",1,"3,650,000,000"
2022-26-12,80,1401,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/meovX,"65,937,500",2,"5,275,000,000"
2022-26-12,460,1401,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/kkuPr,"217,391,304",4,"100,000,000,000"
2022-26-12,150,1375,پارکینگ/آسانسور/انباری,7,https://www.mrestate.ir/s/vlola,"83,000,000",3,"12,450,000,000"
2022-26-12,131,1390,پارکینگ/آسانسور/انباری,1,https://www.mrestate.ir/s/EiWeA,"70,000,000",3,"9,170,000,000"
2022-26-12,95,1401,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/GmgYF,"73,684,210",2,"7,000,000,000"
2022-26-12,130,1401,پارکینگ/آسانسور/انباری/بالکن/پارکینگ مهمان,2,https://www.mrestate.ir/s/CDSPV,"82,692,307",3,"10,750,000,000"
2022-26-12,90,1381,پارکینگ/آسانسور/انباری,1,https://www.mrestate.ir/s/pmDRk,"71,666,666",2,"6,450,000,000"
2022-26-12,72,1401,پارکینگ/آسانسور/انباری,1,https://www.mrestate.ir/s/biGGK,"79,583,333",2,"5,730,000,000"
2022-26-12,180,1400,پارکینگ/آسانسور/انباری,1,https://www.mrestate.ir/s/nFWtx,"116,666,666",3,"21,000,000,000"
2022-26-12,110,1400,پارکینگ/آسانسور/انباری/بالکن/سرایداری,2,https://www.mrestate.ir/s/dNqff,"50,000,000",3,"5,500,000,000"
2022-26-12,100,1373,,4,https://www.mrestate.ir/s/ymkOf,"46,000,000",2,"4,600,000,000"
2022-26-12,195,1385,پارکینگ/آسانسور/انباری,1,https://www.mrestate.ir/s/wCqzI,"80,000,000",3,"15,600,000,000"
2022-26-12,208,1383,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/hcalu,"110,000,000",3,"22,880,000,000"
2022-26-12,180,1401,پارکینگ/آسانسور/انباری,1,https://www.mrestate.ir/s/KjDoJ,"161,111,111",3,"29,000,000,000"
2022-26-12,88,1401,پارکینگ/آسانسور/انباری,1,https://www.mrestate.ir/s/STHiZ,"85,227,272",2,"7,500,000,000"
2022-26-12,82,1400,پارکینگ/آسانسور,4,https://www.mrestate.ir/s/ScCAf,"115,000,000",2,"9,430,000,000"
2022-26-12,150,1395,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/AJqCh,"93,333,333",3,"14,000,000,000"
2022-26-12,88,1397,پارکینگ/آسانسور/انباری,8,https://www.mrestate.ir/s/CNewk,"55,681,818",2,"4,900,000,000"
2022-26-12,100,1398,پارکینگ/آسانسور/انباری,5,https://www.mrestate.ir/s/joqca,"67,000,000",2,"6,700,000,000"
2022-26-12,211,1387,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/KtmdB,"110,000,000",3,"23,210,000,000"
2022-26-12,91,1401,پارکینگ/آسانسور/انباری,1,https://www.mrestate.ir/s/wxJuL,"71,428,571",2,"6,500,000,000"
2022-26-12,260,1400,پارکینگ/آسانسور/انباری,5,https://www.mrestate.ir/s/YyxXa,"128,846,153",3,"33,500,000,000"
2022-26-12,80,1394,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/CRfGQ,"61,250,000",2,"4,900,000,000"
