district,area,year,rooms,value,floor,elevator,parking,warehouse
 سعادت‌آباد ,145,1401,3,14000000000,3,True,True,True
 شهرک غرب ,152,1391,3,17000000000,3,True,True,True
 مخصوص ,75,1394,2,2900000000,3,True,True,True
 جیحون ,74,1401,2,3990000000,1,True,True,True
 دروس ,315,1401,4,55000000000,2,True,True,True
 نیاوران ,248,1392,3,43000000000,1,True,True,True
 آجودانیه ,243,1385,3,18000000000,5,True,True,True
 استاد معین ,127,1401,2,5590000000,3,True,True,True
 ولنجک ,400,1397,4,100000000000,6,True,True,True
 ولنجک ,320,1400,4,93000000000,10,True,True,True
 قیام‌دشت ,83,1396,2,1567000000,4,False,False,False
 کوی فردوس ,145,1397,3,10050000000,1,True,True,True
 چیتگر ,50,1401,2,785000000,30,True,True,True
 مبارک‌آباد بهشتی ,97,1399,2,1940000000,1,True,True,True
 مبارک‌آباد بهشتی ,76,1397,2,1284400000,6,True,False,False
 الهیه,420,1401,3,120000000000,6,True,True,True
 الهیه ,650,1401,4,224000000000,15,True,True,True
 زعفرانیه ,195,1399,3,35000000000,5,True,True,True
 مبارک‌آباد بهشتی ,120,1401,2,2300000000,2,True,True,True
 زعفرانیه ,230,1400,3,58000000000,7,True,True,True
 زعفرانیه ,135,1395,2,21600000000,2,True,True,True
 زعفرانیه ,370,1400,4,96000000000,10,True,True,True
 هروی,110,1398,2,11700000000,1,True,True,True
 نیلوفر ,160,1391,3,15000000000,4,True,True,True
 سهروردی ,110,1385,2,7200000000,3,True,True,True
 نیلوفر ,196,1395,3,18000000000,4,True,True,True
 استاد معین ,60,1383,1,2400000000,2,False,True,True
 کوی فردوس ,63,1393,2,4600000000,2,True,True,True
 سعادت‌آباد ,150,1385,3,12000000000,3,True,True,True
 کوی فردوس ,86,1384,2,4900000000,2,True,True,True
 دزاشیب ,145,1383,3,9500000000,1,False,True,True
 سازمان برنامه ,57,1388,1,3700000000,1,True,True,True
 طرشت ,83,1400,2,4500000000,2,True,True,True
 فرمانیه ,250,1401,3,40000000000,6,True,True,True
 سعادت‌آباد ,110,1380,2,4900000000,3,True,True,True
 الهیه ,201,1397,3,320000000000,5,True,True,True
 نیاوران ,315,1401,3,49900000000,5,True,True,True
 کوی فردوس ,65,1389,2,4400000000,4,True,True,True
 جردن ,240,1384,4,20000000000,6,True,True,True
 هروی ,110,1401,2,12100000000,5,True,True,True
 ولنجک ,240,1398,3,32000000000,5,True,True,True
 پاسداران ,193,1401,3,24950000000,2,True,True,True
 هروی ,157,1387,3,11100000000,4,True,True,True
 پاسداران ,190,1401,3,22700000000,1,True,True,True
 دروس ,147,1391,3,13900000000,4,True,True,True
 الهیه ,180,1383,3,14400000000,2,True,True,True
 پاسداران ,100,1401,2,9000000000,1,True,True,True
 نیاوران ,190,1390,3,30000000000,3,True,True,True
 دانشگاه علم و صنعت,70,1381,1,3350000000,1,False,True,True
 طرشت ,133,1394,3,7480000000,5,True,True,True
 یوسف‌آباد ,100,1385,2,7650000000,3,True,True,True
 الهیه ,320,1395,3,45000000000,5,True,True,True
 الهیه ,230,1388,3,28750000000,1,True,True,True
 سازمان برنامه ,107,1396,2,7600000000,2,True,True,True
 قیطریه ,151,1387,3,12835000000,5,True,True,True
 مرزداران ,102,1395,2,7050000000,1,True,True,True
 شیخ هادی,116,1389,3,5500000000,1,True,True,True
 نیاوران ,190,1400,3,29800000000,11,True,True,True
 دروس ,143,1395,3,19000000000,2,True,True,True
 چیتگر ,100,1400,2,1500000000,11,True,True,True
 سعادت‌آباد ,110,1386,2,14800000000,6,True,True,True
 سعادت‌آباد ,128,1397,2,22500000000,3,True,True,True
 سعادت‌آباد ,165,1398,3,26000000000,2,True,True,True
 پاسداران ,270,1401,3,41000000000,2,True,True,True
 فرمانیه ,215,1391,3,25800000000,4,True,True,True
 مشیریه ,61,1384,1,1650000000,3,False,False,False
 زعفرانیه ,170,1397,3,24650000000,1,True,True,True
 پونک ,132,1390,3,9450000000,1,True,True,True
 جیحون ,69,1384,2,3050000000,1,False,True,True
 هفت چنار ,150,1400,3,5440000000,2,True,True,True
 دولت‌آباد ,100,1396,2,2800000000,3,True,False,False
 سعادت‌آباد ,160,1385,3,16000000000,4,True,True,True
 سعادت‌آباد ,250,1400,4,49999999999,4,True,True,True
 سعادت‌آباد ,175,1400,3,34822222222,5,True,True,True
 سعادت‌آباد ,100,1389,2,8900000000,2,True,True,True
 فرمانیه ,255,1387,4,31000000000,1,True,True,True
 کوهک ,138,1400,2,7900000000,12,True,True,True
 کوی فردوس ,71,1381,1,4250000000,5,True,True,True
 کوی فردوس,96,1395,2,6100000000,1,True,True,True
 آذربایجان ,120,1401,3,7800000000,4,True,True,True
 نیاوران ,240,1389,3,30000000000,13,True,True,True
 زعفرانیه ,190,1388,3,30000000000,4,True,True,True
 زعفرانیه ,195,1386,3,30000000000,4,True,True,True
