build_year,neighbour_hood,area,floor,rooms,Parking,Elevator,Warehouse,Luxury_features,price,mean,std,median,amin,amax,neighbour_hood_encoded
1381,فرمانیه,230,1.0,3,1,1,1,1,108700000,122176685.18518518,30659498.346812826,120700000.0,16200000.0,190000000.0,20
1397,جنتآبادجنوبی,125,4.0,3,1,1,1,0,73600000,60135130.005347595,13104643.369948454,60888000.0,843220.0,91666666.0,13
1401,جردن,211,4.0,3,1,0,1,1,118483412,91821517.75252526,19646827.68857334,89721875.0,48000000.0,140000000.0,18
1399,باغفردوس,110,5.0,2,1,1,1,0,125000000,151600000.0,31770006.819850277,151750000.0,90000000.0,200000000.0,21
1380,کامرانیه,150,2.0,3,0,0,0,0,161333333,114189217.13235295,31526742.19592267,105500000.0,66500000.0,203209000.0,19
1401,افسریه,125,15.0,3,1,1,1,1,5600000,29613479.0,12769922.792292425,37414965.0,5600000.0,44444444.0,3
1391,بلوارفردوسغرب,82,3.0,2,1,1,1,0,64024000,65997073.82550336,10235266.110435715,65218000.0,15104000.0,105000000.0,14
1390,سعادتآباد,126,1.0,3,1,1,1,0,67460000,82825233.46999405,29784174.205726072,77419000.0,8700000.0,204500000.0,17
1386,اختیاریه,153,5.0,3,1,1,1,0,88200000,85898004.99168053,16435197.312221156,84200000.0,43947000.0,160000000.0,17
1391,امیرآباد,130,1.0,3,1,1,1,0,64500000,80210100.99672131,12461139.369398655,80000000.0,38235000.0,115000000.0,16
1395,شهرزیبا,95,4.0,2,1,1,1,0,47400000,42339327.0,19949550.077963997,46833333.0,12794000.0,87800000.0,7
1393,محله,48,2.0,1,0,0,0,0,14583333,73819883.09677419,36898762.043740176,67258560.0,12745098.0,195555555.0,15
1393,نو,82,3.0,2,0,0,0,0,36585365,48702630.85714286,10619121.485267676,47836500.0,16500000.0,70652173.0,8
1383,فرشته,200,7.0,3,1,1,0,1,120000000,120952950.5831435,33940719.24992989,116700000.0,59615384.0,204500000.0,20
1393,استادمعین,80,1.0,2,1,1,1,0,44375000,44263980.72131147,7208221.048194331,44702000.0,13800000.0,55882000.0,7
1397,امیرآباد,190,2.0,3,1,1,1,0,80000000,80210100.99672131,12461139.369398655,80000000.0,38235000.0,115000000.0,16
1401,دریاچهشهدایخلیجفارس,85,9.0,2,1,1,1,1,12824000,22830528.66242038,12980441.790903542,22250000.0,1542000.0,65515000.0,2
1389,بلوارفردوس,81,3.0,2,0,0,0,1,65802469,59341145.36082474,11226516.262274269,59859154.0,19285714.0,120000000.0,12
1370,امیرآباد,204,6.0,5,1,1,1,0,38235000,80210100.99672131,12461139.369398655,80000000.0,38235000.0,115000000.0,16
1385,پارس,65,5.0,1,0,0,0,0,40769230,49426053.23076923,25979482.52074253,46212121.0,12358490.0,202666666.0,9
1401,سازمانآبصادقیه,148,12.0,3,1,1,1,1,114400000,105878571.42857143,17407831.065861776,110400000.0,58800000.0,123300000.0,19
1401,پونک,150,6.0,3,1,1,1,1,72500000,64268619.23232323,15318423.73151411,64800000.0,6364000.0,117400000.0,13
1398,سازمانبرنامهشمالی,103,4.0,2,1,1,1,0,59515000,68094790.27819549,12363884.237145117,66250000.0,43428571.0,120000000.0,14
